,booster,knn,knn_sel
0,0.22560511939574623,0.2,0.4
1,0.0662562167279339,0.0,0.0
2,0.1205079658661284,0.1,0.0
3,0.20859963147271263,0.2,0.2
4,0.0933100974853605,0.5,0.2
5,0.04846117545219683,0.1,0.0
6,0.6412413041408409,0.7,0.6
7,0.05848630616758211,0.2,0.2
8,0.045880631462200776,0.1,0.2
9,0.030129017306802255,0.1,0.0
10,0.021191835941305377,0.0,0.2
11,0.04462528120470885,0.0,0.4
12,0.10198888398646468,0.0,0.2
13,0.029595192513924236,0.0,0.0
14,0.047515258280132144,0.0,0.0
15,0.04009064923626847,0.0,0.0
16,0.46500383246121446,0.4,0.6
17,0.056914345075447965,0.0,0.0
18,0.07672278696514837,0.0,0.0
19,0.43477505709732794,0.4,0.4
20,0.06810598073990319,0.0,0.0
21,0.07435400928649163,0.0,0.0
22,0.5315277458406759,0.4,0.2
23,0.09884611233264004,0.1,0.2
24,0.03204835803068853,0.0,0.0
25,0.05312479504655494,0.0,0.2
26,0.0805324054589462,0.3,0.4
27,0.06906182753753395,0.1,0.0
28,0.05875636584457661,0.0,0.0
29,0.09599356787935719,0.2,0.4
30,0.06062921636112775,0.0,0.0
31,0.19511725418953685,0.1,0.2
32,0.033778557653131536,0.0,0.0
33,0.2749534102474361,0.2,0.2
34,0.09547073334733104,0.0,0.0
35,0.05829030570344312,0.0,0.0
36,0.7724353405668258,0.6,0.8
37,0.09136887093033416,0.2,0.0
38,0.773788623167303,0.8,0.6
39,0.07686416380373466,0.0,0.0
40,0.043089627540982514,0.3,0.0
41,0.04209375600575504,0.0,0.0
42,0.05955312170520888,0.0,0.0
43,0.1413811854342752,0.0,0.2
44,0.6548279161069859,0.7,1.0
45,0.10611276551362492,0.1,0.0
46,0.09161849526907095,0.0,0.0
47,0.04721365545637357,0.0,0.0
48,0.05915894277854925,0.1,0.0
49,0.09927728048977526,0.3,0.4
50,0.03479787880537815,0.0,0.0
51,0.03443509406675063,0.0,0.0
52,0.09194210874656418,0.0,0.0
53,0.09540901773733641,0.0,0.0
54,0.06838802755074502,0.2,0.2
55,0.45307439899706653,0.5,0.2
56,0.03826264377682839,0.1,0.0
57,0.03130998650288463,0.1,0.2
58,0.06000240815063012,0.2,0.2
59,0.04170797549255062,0.0,0.0
60,0.15418958370399335,0.1,0.0
61,0.04732875424661737,0.1,0.2
62,0.6899002692312124,0.6,0.8
63,0.06448010517248282,0.1,0.0
64,0.0751552089297652,0.2,0.0
65,0.8188712804318495,0.6,0.6
66,0.0876744303298525,0.0,0.0
67,0.14198942427721667,0.2,0.2
68,0.18363496761105982,0.2,0.0
69,0.04345903394099194,0.0,0.0
70,0.09360674428453512,0.2,0.0
71,0.09680655943111241,0.0,0.0
72,0.06881140562072696,0.0,0.0
73,0.7054690722817494,1.0,1.0
